sequence,exercise,status,reasons,stage1_success,stage1_status,stage1_nfev,stage1_cost,stage1_optimality,stage2_success,stage2_status,stage2_nfev,stage2_cost,stage2_optimality,points_initial,points_final,three_camera_tracks,observations_extracted,observations_final,rejected_tracks,good_samples,downweighted_samples,rejected_samples,pre_mean_px,pre_median_px,pre_p90_px,pre_p95_px,post_mean_px,post_median_px,post_p90_px,post_p95_px,pre_inlier_ratio,post_inlier_ratio,elapsed_sec
barbellrow_0000,barbellrow,PASS,[],True,2,20,27805.973372075503,1749601.8566485967,True,3,31,7120.731285594338,51541.300428382914,86,51,9,949,564,35,24,0,0,4.642012077196005,4.256485188748423,8.637601546803443,10.57369557360872,3.64377105374251,2.9553948268351578,8.463434068297692,9.875857765157214,0.8581560283687943,0.8900709219858156,7.7902094619348645
barbellrow_0001,barbellrow,PASS,[],True,2,16,23048.02304323196,784096.2709132783,True,3,52,5572.2477828499805,40080.569396906496,67,42,8,751,439,25,24,0,0,4.983817463736396,4.586273159576951,8.485793049107258,9.638782299258484,4.078280556753465,3.360909452922167,7.896529638487056,10.150412716270276,0.8701594533029613,0.908883826879271,8.992110904306173
barbellrow_0002,barbellrow,PASS,[],True,3,17,23674.103625387936,1071328.9236824077,True,3,35,5498.671811851736,34790.52172655735,80,47,6,795,462,33,24,0,0,4.224894903567471,4.085291007863692,8.14217503551852,9.385379474987058,3.083810814315892,2.273411810943213,7.486975218291485,9.084426864333423,0.8874458874458875,0.9112554112554112,11.761118218302727
barbellrow_0003,barbellrow,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,2,19,20343.818603791336,682850.6439047498,True,3,46,3264.539729422136,36669.968706792926,61,34,3,625,341,27,22,2,0,4.755236092583803,4.865363209372906,7.920409912721315,8.406994382895833,3.2754996048838088,2.756738964749758,5.5617575007870705,8.69574691847437,0.9178885630498533,0.9296187683284457,10.496562577784061
benchpress_0000,benchpress,PASS,[],True,4,16,19082.26355774081,844746.0908408558,True,4,14,9075.309341841956,979532.1055184219,98,79,4,1014,830,19,23,1,0,3.884250788339255,2.744593473977546,8.958293958884767,10.587990997067601,3.8577561034557215,2.744593489689777,8.911893691377927,10.587982604906069,0.8795180722891566,0.8831325301204819,10.178345846943557
benchpress_0001,benchpress,PASS,[],True,4,16,24630.87454367157,952441.9295190227,True,3,8,8853.102128974348,516742.4728005979,109,83,6,1115,839,26,24,0,0,3.734556817749822,2.7096261449226127,8.016474486329868,9.866157267725104,3.7088709791391916,2.7045715777200257,7.828382403663685,9.775165053870708,0.899880810488677,0.9046483909415971,11.236051367595792
benchpress_0002,benchpress,PASS,[],True,4,17,25150.548797103125,610103.891837009,True,3,40,8868.947865659069,90990.6696974637,105,71,5,1068,726,34,24,0,0,3.5819905668071232,2.178359774437665,8.872169702356064,10.379233024854159,3.0706353593915465,1.9649388282800717,7.821644629557262,11.902408980416094,0.871900826446281,0.9008264462809917,11.67007733695209
benchpress_0003,benchpress,PASS,[],True,2,20,28561.86510948609,1011369.1461142645,True,3,16,5725.742460988166,43255.11262165191,114,73,2,1187,762,41,24,0,0,2.9926796804354683,2.3237453214791928,6.729923718875448,7.774037196809522,2.66629668503131,1.9273716339461524,5.264954689073477,8.420007336689485,0.958005249343832,0.937007874015748,9.798569371923804
benchpress_0004,benchpress,PASS,[],True,4,20,26935.279602340877,1424273.6413848589,True,3,30,8230.795941052696,111397.32220504979,113,78,6,1150,802,35,24,0,0,3.644843917118028,2.6336270650980733,7.923521314363119,9.740298971728096,3.047390851035161,2.195409148967536,6.232578665947117,9.72512352567628,0.9002493765586035,0.9214463840399002,12.640459798276424
deadlift_0000,deadlift,REVIEW,"[""LIMITED_TRACK_SUPPORT""]",True,4,16,12022.652829850515,949019.9276053078,True,3,38,4342.755862687891,30321.140170912153,50,38,5,537,399,12,24,0,0,4.230840355574384,3.9255590885144396,8.288595632946329,10.54471067969019,3.194859415814361,2.368342022484918,6.7453966386703454,8.909258885672669,0.8796992481203008,0.9273182957393483,12.425820732489228
